INGR|Ingredion Incorporated
0ML0.LON|Sonae SGPS S.A.
ITM1.FRK|ITM Power PLC
SNC.LIS|Sonaecom SGPS SA
ADC|Agree Realty Corp
ARE|Alexandria Real Estate Equities Inc
CME|CME Group Inc.
CNI|Canadian National Railway Company
FPAFF|First Pacific Co. Ltd. 
MAIN|Main Street Capital Corp
OBDC|Blue Owl Capital Corp
PEP|PepsiCo, Inc.
STAG|STAG Industrial, Inc.
SWRAY|Swire Pacific Limited
TJSCF|Tianjin Development Holdings Ltd
UOVEF|United Overseas Bank Ltd
WM|Waste Management, Inc.
CARM.PAR|Carisma Therapeutics, Inc.
MERY.PAR|Mercialys SA
AI.PAR|Air Liquide
AGS.BRU|Ageas
